ds,y
2019-01-01,16
2019-01-02,14
2019-01-03,20
2019-01-04,20
2019-01-05,10
2019-01-06,11
2019-01-07,16
2019-01-08,17
2019-01-09,20
2019-01-10,18
2019-01-11,23
2019-01-12,21
2019-01-13,18
2019-01-14,22
2019-01-15,22
2019-01-16,20
2019-01-17,25
2019-01-18,20
2019-01-19,24
2019-01-20,21
2019-01-21,21
2019-01-22,21
2019-01-23,29
2019-01-24,26
2019-01-25,24
2019-01-26,23
2019-01-27,25
2019-01-28,25
2019-01-29,27
2019-01-30,29
2019-01-31,35
2019-02-01,27
2019-02-02,25
2019-02-03,23
2019-02-04,28
2019-02-05,31
2019-02-06,30
2019-02-07,28
2019-02-08,27
2019-02-09,30
2019-02-10,30
2019-02-11,30
2019-02-12,28
2019-02-13,33
2019-02-14,33
2019-02-15,32
2019-02-16,33
2019-02-17,30
2019-02-18,32
2019-02-19,32
2019-02-20,34
2019-02-21,36
2019-02-22,29
2019-02-23,31
2019-02-24,29
2019-02-25,29
2019-02-26,32
2019-02-27,39
2019-02-28,33
2019-03-01,37
2019-03-02,28
2019-03-03,31
2019-03-04,33
2019-03-05,36
2019-03-06,38
2019-03-07,39
2019-03-08,34
2019-03-09,32
2019-03-10,35
2019-03-11,33
2019-03-12,31
2019-03-13,33
2019-03-14,34
2019-03-15,38
2019-03-16,35
2019-03-17,35
2019-03-18,33
2019-03-19,36
2019-03-20,39
2019-03-21,37
2019-03-22,38
2019-03-23,33
2019-03-24,33
2019-03-25,33
2019-03-26,32
2019-03-27,39
2019-03-28,37
2019-03-29,37
2019-03-30,37
2019-03-31,36
2019-04-01,37
2019-04-02,36
2019-04-03,37
2019-04-04,38
2019-04-05,32
2019-04-06,32
2019-04-07,31
2019-04-08,32
2019-04-09,38
2019-04-10,36
2019-04-11,38
2019-04-12,42
2019-04-13,35
2019-04-14,37
2019-04-15,33
2019-04-16,37
2019-04-17,36
2019-04-18,38
2019-04-19,41
2019-04-20,32
2019-04-21,37
2019-04-22,37
2019-04-23,36
2019-04-24,35
2019-04-25,40
2019-04-26,37
2019-04-27,38
2019-04-28,36
2019-04-29,42
2019-04-30,38
2019-05-01,37
2019-05-02,41
2019-05-03,40
2019-05-04,42
2019-05-05,40
2019-05-06,39
2019-05-07,44
2019-05-08,37
2019-05-09,39
2019-05-10,38
2019-05-11,38
2019-05-12,34
2019-05-13,40
2019-05-14,39
2019-05-15,37
2019-05-16,39
2019-05-17,42
2019-05-18,42
2019-05-19,45
2019-05-20,48
2019-05-21,42
2019-05-22,40
2019-05-23,37
2019-05-24,43
2019-05-25,38
2019-05-26,38
2019-05-27,38
2019-05-28,41
2019-05-29,47
2019-05-30,44
2019-05-31,42
2019-06-01,38
2019-06-02,35
2019-06-03,39
2019-06-04,42
2019-06-05,50
2019-06-06,45
2019-06-07,47
2019-06-08,41
2019-06-09,38
2019-06-10,39
2019-06-11,41
2019-06-12,51
2019-06-13,43
2019-06-14,47
2019-06-15,40
2019-06-16,45
2019-06-17,43
2019-06-18,43
2019-06-19,45
2019-06-20,44
2019-06-21,46
2019-06-22,42
2019-06-23,39
2019-06-24,39
2019-06-25,45
2019-06-26,51
2019-06-27,47
2019-06-28,45
2019-06-29,44
2019-06-30,46
2019-07-01,44
2019-07-02,43
2019-07-03,49
2019-07-04,48
2019-07-05,50
2019-07-06,44
2019-07-07,39
2019-07-08,39
2019-07-09,49
2019-07-10,51
2019-07-11,45
2019-07-12,44
2019-07-13,47
2019-07-14,39
2019-07-15,39
2019-07-16,45
2019-07-17,44
2019-07-18,45
2019-07-19,44
2019-07-20,43
2019-07-21,45
2019-07-22,41
2019-07-23,44
